bin,pseudotime_mean
bin1,0.00929742306470871
bin2,0.015766160562634468
bin3,0.019859660416841507
bin4,0.02379171922802925
bin5,0.0282675139605999
bin6,0.03288494050502777
bin7,0.03733178973197937
bin8,0.040654052048921585
bin9,0.04330519214272499
bin10,0.04537358507514
bin11,0.047014955431222916
bin12,0.04839106276631355
bin13,0.04938778653740883
bin14,0.05020967498421669
bin15,0.050938889384269714
bin16,0.05156108736991882
bin17,0.0520724393427372
bin18,0.05249942094087601
bin19,0.05287710204720497
bin20,0.053214654326438904
bin21,0.053524699062108994
bin22,0.053805869072675705
bin23,0.054100483655929565
bin24,0.05435250699520111
bin25,0.05457554757595062
bin26,0.05480072274804115
bin27,0.054994381964206696
bin28,0.05518702417612076
bin29,0.05535566061735153
bin30,0.055532339960336685
bin31,0.055710867047309875
bin32,0.05587552487850189
bin33,0.056052032858133316
bin34,0.05620652809739113
bin35,0.056366950273513794
bin36,0.05653056502342224
bin37,0.056676898151636124
bin38,0.05681433528661728
bin39,0.056958042085170746
bin40,0.057088159024715424
bin41,0.05720735341310501
bin42,0.057334598153829575
bin43,0.05745945870876312
bin44,0.057580385357141495
bin45,0.05770282447338104
bin46,0.05782325938344002
bin47,0.05794486030936241
bin48,0.05806291848421097
bin49,0.05818302556872368
bin50,0.05829467251896858
bin51,0.0584026463329792
bin52,0.05850568786263466
bin53,0.05860573798418045
bin54,0.05871712043881416
bin55,0.05882592871785164
bin56,0.0589340403676033
bin57,0.059046223759651184
bin58,0.059153467416763306
bin59,0.059261828660964966
bin60,0.059367794543504715
bin61,0.05947836488485336
bin62,0.059591144323349
bin63,0.059695836156606674
bin64,0.05979202315211296
bin65,0.0598912388086319
bin66,0.06000445783138275
bin67,0.06011608988046646
bin68,0.060221850872039795
bin69,0.06032911315560341
bin70,0.06044016778469086
bin71,0.060550205409526825
bin72,0.060664430260658264
bin73,0.060781437903642654
bin74,0.060889072716236115
bin75,0.06099972501397133
bin76,0.061117615550756454
bin77,0.06123118847608566
bin78,0.06134825199842453
bin79,0.0614766851067543
bin80,0.06159554049372673
bin81,0.061706919223070145
bin82,0.06183910742402077
bin83,0.061977844685316086
bin84,0.06211203336715698
bin85,0.06226170435547829
bin86,0.06241074576973915
bin87,0.06257613003253937
bin88,0.06274326145648956
bin89,0.06293473392724991
bin90,0.06315243989229202
bin91,0.0633629783987999
bin92,0.06358523666858673
bin93,0.06384427100419998
bin94,0.06414616107940674
bin95,0.0644783154129982
bin96,0.06491789221763611
bin97,0.06550871580839157
bin98,0.06640627235174179
bin99,0.0677027478814125
bin100,0.06944012641906738
bin101,0.0715269222855568
bin102,0.07421546429395676
bin103,0.07720226794481277
bin104,0.08071889728307724
bin105,0.08441967517137527
bin106,0.08803106844425201
bin107,0.0922405943274498
bin108,0.09659457951784134
bin109,0.10186867415904999
bin110,0.1081419289112091
bin111,0.11693667620420456
bin112,0.12722419202327728
bin113,0.13951385021209717
bin114,0.1576676070690155
bin115,0.1796589493751526
bin116,0.20144596695899963
bin117,0.23229572176933289
bin118,0.27309468388557434
bin119,0.3156750798225403
bin120,0.7098731398582458
