pseudotime,Retina-Sham,Retina-MB,OpticNerve-Sham,OpticNerve-MB
0.4214,0.00561,0.01539,0.00738,0.00012
0.42475,0.00506,0.01488,0.00762,0.00014
0.42809,0.00431,0.01437,0.00699,0.00025
0.43144,0.00342,0.01381,0.00569,0.00048
0.43478,0.00252,0.01315,0.00412,0.00088
0.43813,0.00172,0.01234,0.00265,0.00156
0.44147,0.00112,0.0114,0.00152,0.0026
0.44482,0.00079,0.01032,0.00077,0.0041
0.44816,0.00075,0.00914,0.00035,0.00609
0.4515,0.00099,0.00791,0.00014,0.00854
0.45485,0.00148,0.00671,5e-05,0.01133
0.45819,0.00216,0.00558,3e-05,0.01422
0.46154,0.00291,0.0046,6e-05,0.01688
0.46488,0.00356,0.00381,0.00016,0.01899
0.46823,0.00396,0.00324,0.00039,0.02023
0.47157,0.00406,0.00293,0.00086,0.02042
0.47492,0.00392,0.00286,0.00166,0.01955
0.47826,0.00374,0.00303,0.00285,0.01773
0.48161,0.00377,0.00341,0.00435,0.01525
0.48495,0.00421,0.00397,0.00591,0.01242
0.48829,0.00514,0.00465,0.00713,0.00958
0.49164,0.00647,0.0054,0.00764,0.007
0.49498,0.00798,0.00615,0.00728,0.00484
0.49833,0.00944,0.00687,0.00616,0.00316
0.50167,0.01064,0.00749,0.00463,0.00195
0.50502,0.01145,0.008,0.00309,0.00114
0.50836,0.01176,0.00839,0.00184,0.00063
0.51171,0.01153,0.00866,0.00097,0.00033
0.51505,0.0107,0.00885,0.00045,0.00017
0.51839,0.00933,0.009,0.00019,9e-05
0.52174,0.00756,0.00915,7e-05,7e-05
0.52508,0.00565,0.00935,4e-05,0.0001
0.52843,0.00388,0.00962,6e-05,0.00018
0.53177,0.00245,0.00998,0.00015,0.00035
0.53512,0.00147,0.0104,0.00039,0.00067
0.53846,0.00096,0.01087,0.00088,0.00119
0.54181,0.0009,0.01134,0.00182,0.002
0.54515,0.00129,0.01179,0.00335,0.00319
0.5485,0.00217,0.01219,0.00554,0.00482
0.55184,0.00356,0.01255,0.00823,0.00688
0.55518,0.00539,0.01287,0.01099,0.00933
0.55853,0.00744,0.0132,0.01323,0.01204
0.56187,0.00935,0.01358,0.01438,0.01478
0.56522,0.01071,0.01406,0.01414,0.01734
