gene,n_iv,method,beta,se,p,iv_strength_p,OR,OR_lo,OR_hi,FDR
CD44,1,Wald ratio,-0.1293563983834285,0.11006143953400854,0.23987039586423753,2.17945e-09,0.8786607564621078,0.7081659501619091,1.0902031152020932,0.599368712194965
CX3CR1,1,Wald ratio,-0.10480942577045751,0.08959602316973,0.24208147326110274,2.75169e-08,0.900496117588769,0.7554681684987326,1.0733652212029718,0.599368712194965
ITGAX,1,Wald ratio,0.038757114615733924,0.036056377461307076,0.2824180803108499,3.86165e-49,1.0395179692639562,0.9685904727079727,1.1156393118358252,0.599368712194965
TREM2,1,Wald ratio,-0.06634341129492298,0.0738267627029749,0.36884639945557984,1.05521e-07,0.93580944157255,0.809738545955061,1.081508735518353,0.599368712194965
LGALS3,2,IVW (FE),0.20601736196092588,0.23203295809282432,0.3746054451218531,8.32767e-06,1.2287745377456247,0.7797614527349155,1.9363445824568972,0.599368712194965
SPP1,1,Wald ratio,-0.024775114690355253,0.040449386396993844,0.5402091969508176,3.91419e-17,0.9755292695641179,0.9011749094953824,1.0560184773777015,0.6952266812786715
CSF1R,1,Wald ratio,0.0788808523876186,0.15392339857081425,0.6083233461188375,2.48211e-05,1.0820753876904954,0.8002676787748931,1.4631193733052092,0.6952266812786715
CCL5,1,Wald ratio,0.014181363292759267,0.14070191106843896,0.9197170655301156,2.20282e-09,1.0142823958533855,0.769823214231828,1.33637016852583,0.9197170655301156
