gene,log2FC,pvalue,padj
Fut2b,-6.373215085618252,1.6751266263646388e-05,0.2325985708030686
Pla2g3,-4.669078187008816,2.1140519954834682e-05,0.2325985708030686
Rpl15-ps3,9.359105347596028,6.57214026393294e-05,0.2418196121244962
Cend1,-0.917057232473633,6.709330277603832e-05,0.2418196121244962
Adgrl2,-0.8454797175531823,7.40267380510805e-05,0.2418196121244962
Map1a,-1.2830765558523254,7.711340583794325e-05,0.2418196121244962
Pecr,0.9800710067200971,9.182631115557194e-05,0.2418196121244962
Gm6266,-3.1435575982774893,0.00010118691943817373,0.2418196121244962
Cstb,0.8157704514081825,0.00014479684667327152,0.2418196121244962
Ppip5k2,0.749266976159987,0.00014962589049241217,0.2418196121244962
Zfp879,-1.8957406843720346,0.00015419162924122404,0.2418196121244962
Mapk10,-0.9033573162747395,0.00016148713685903884,0.2418196121244962
Ankrd34a,-0.6291227641913881,0.0001682510435082458,0.2418196121244962
Sack1c,-2.9445064580574574,0.0001844088824532782,0.2418196121244962
Slc3a1,-3.575904738103151,0.00019337150338585317,0.2418196121244962
Nudt6,1.7107774335953483,0.0001939266585905512,0.2418196121244962
Layn,1.3517385455696669,0.00021441594911664864,0.2418196121244962
Cst7,2.3938629689013755,0.00021489659093205598,0.2418196121244962
Rpl31-ps9,2.192843591129238,0.00022386038034159263,0.2418196121244962
Xcr1,1.1949775442226844,0.00023087586770460325,0.2418196121244962
Gm9292,-2.264796008782243,0.00023626731532949032,0.2418196121244962
Lrfn3,-4.608006145581829,0.00024176466560958494,0.2418196121244962
Tm6sf2,-4.024409584302675,0.00030108969562931374,0.28007197981028037
Selenot,-0.5966645437513058,0.0003730725533915158,0.28007197981028037
Gabrr2,-1.1116256605464514,0.0003850835960298931,0.28007197981028037
Ppp4c,0.6684843746896814,0.0003868933197953972,0.28007197981028037
Gm5278,3.5375454435377733,0.00039821244028619005,0.28007197981028037
Slitrk6,-1.3800786259445967,0.0003993408944682934,0.28007197981028037
Szrd1,1.67414219796704,0.00040133501060664187,0.28007197981028037
Exosc5,0.6068529813982213,0.0004633849662908404,0.28007197981028037
Gm9762,5.3735192259528795,0.00046459180670171393,0.28007197981028037
Gm1110,-3.921524832306276,0.00046929697034889294,0.28007197981028037
Ca12,-7.387432531991351,0.0004772323129010512,0.28007197981028037
Gm14048,-1.0484398611158037,0.00048020205279551193,0.28007197981028037
Dusp19,0.7895010737821639,0.0004825803202444419,0.28007197981028037
Eif3j1,0.6214593421242576,0.0005007729149772157,0.28007197981028037
Myh7,-4.832554493711733,0.000514748278330564,0.28007197981028037
Pfn2,-0.7953899546862058,0.0005326971501385068,0.28007197981028037
Krabd5,-1.429941188549643,0.0005549147781778236,0.28007197981028037
Casp4,0.9970927815150343,0.0005689797857078808,0.28007197981028037
Rtn1,-0.4867287880735436,0.0005737075928575025,0.28007197981028037
Gm17655,-1.1760991713982598,0.0005802879535849282,0.28007197981028037
Elmod1,-0.7441728121808531,0.0005825575341186748,0.28007197981028037
Ptpn21,-1.690699640101065,0.0006023136157330721,0.28007197981028037
Slc2a12,-5.728921428471275,0.0006058894025311515,0.28007197981028037
Zfp865,-0.8667396216750216,0.0006324270843935458,0.28007197981028037
Hdac4,-0.45344894743447384,0.0006482555146176055,0.28007197981028037
Mkks,-1.2845503261599198,0.0006556965904890201,0.28007197981028037
Hs3st5,-1.9657420229336218,0.0006578116809642619,0.28007197981028037
Bloc1s5,0.43564456523480644,0.0006627490725614693,0.28007197981028037
Gm18025,-2.495093858051437,0.0006703474335569704,0.28007197981028037
Enkur,-3.4256561895234663,0.0006886522443930896,0.28007197981028037
