signature,n_genes,WT_IOP_meanFC,WT_IOP_frac_up,WT_IOP_paired_p,KO_IOP_meanFC,KO_IOP_frac_up,KO_IOP_paired_p,WT_ONC_meanFC,WT_ONC_frac_up,WT_ONC_paired_p,Spp1_dependence_p,Spp1_dependence_dFC
DAM_MG,19,0.22742242539341437,0.47368421052631576,0.3320655822753906,1.1626016724254915,1.0,3.814697265625e-06,1.689587911237253,0.8421052631578947,0.000164031982421875,0.00202178955078125,-0.9351792470320772
IFN_module,14,0.6905841856251794,0.9285714285714286,0.000244140625,0.8400611442415673,1.0,0.0001220703125,2.7473628389615325,1.0,0.0001220703125,0.5015869140625,-0.14947695861638785
MHCII,6,1.643111107510215,0.8333333333333334,0.0625,0.8689862980597113,1.0,0.03125,-0.10287083530658592,0.3333333333333333,0.84375,0.15625,0.7741248094505035
Homeostatic_MG,10,-0.3881189981477565,0.0,0.001953125,0.4680072169212551,0.9,0.083984375,0.19948855805119886,0.5,0.625,0.083984375,-0.8561262150690115
Chemokine,8,0.39683212333311324,0.75,0.1484375,1.4100137190545414,0.875,0.015625,2.2611961129266116,0.875,0.0390625,0.1484375,-1.0131815957214283
