source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
Iron+ MG (Fth1+),MHCII+ Mac/APC,Fam3c,Lamp1,0.6864816,1.0,0.4328599,-0.3795819653383357,-0.3060212147899949,0.010170129,0.80527675,1.0,0.9860979188648211,OpticNerve,MB
MHCII+ MG,BAM,Sema4d,Cd72,0.39064437,1.0,0.15246886,-0.3087572444749662,-0.11487350287735071,0.0056318124,0.7105136,1.0,0.9860979188648211,OpticNerve,MB
Iron+ MG (Fth1+),BAM,Plau,Lrp1,0.7154314,0.0,0.4330948,0.39790990755677813,0.3094097769733205,0.05077062,0.8053193,0.004395006309065872,0.9863301852976194,OpticNerve,MB
DAM-like MG,MHCII+ Mac/APC,Ptpn6,Cd300lf,0.47414508,0.18,0.09904292,0.1107236091568049,0.01588096949818553,0.026246035,0.66422427,0.16289808561239344,0.9863301852976194,OpticNerve,MB
Homeostatic MG,Proliferating MG,Tnf,Tradd,0.25918138,0.69,0.037983723,-0.012266299289523299,-0.117477271725614,0.016794845,0.55057114,0.561215600223449,0.9864071295981318,OpticNerve,MB
MHCII+ Mac/APC,MHCII+ MG,Csf1,Csf3r,0.43367845,1.0,0.09903242,-0.6589925969846914,-0.4168235198082536,0.006211295,0.66421247,1.0,0.9865622326209365,OpticNerve,MB
DAM-like MG,BAM,Ptdss1,Jmjd6,0.19541258,0.15,0.037990555,0.06958588430552218,0.05257998459049157,0.019064285,0.55059344,0.143298290740523,0.9867807644430783,OpticNerve,MB
NK cell,Iron+ MG (Fth1+),Crtam,Cadm1,0.39051574,1.0,0.12932248,-0.3648102005699101,-0.540487818958649,0.013477479,0.69329184,1.0,0.986910627480645,OpticNerve,MB
Iron+ MG (Fth1+),NK cell,Cadm1,Crtam,0.39051574,1.0,0.12932248,-0.3648102005699101,-0.540487818958649,0.013477479,0.69329184,1.0,0.986910627480645,OpticNerve,MB
BAM,NK cell,Pf4,Ldlr,0.49051362,0.0,0.09901167,2.466460978850943,0.799308219131644,0.043521594,0.6641891,0.0021261137254306936,0.9870266921052664,OpticNerve,MB
T cell,T cell,Gnai2,S1pr1,0.71561676,0.88,0.09319522,-0.10803029804739844,-0.16075246347932548,0.010853669,0.6574043,0.8818945776910215,0.987147775732471,OpticNerve,MB
BAM,T cell,Tnf,Sema4c,0.26050487,0.86,0.037994348,-0.12728634044912232,-0.22293650174747004,0.010446135,0.5506058,0.9099512065334593,0.9871543016733697,OpticNerve,MB
DAM-like MG,BAM,Csf1,Csf2ra,0.6584586,0.0,0.4334909,0.42229811800770656,0.5844789551137222,0.043357927,0.80539095,0.0037583003539257676,0.9872591043522047,OpticNerve,MB
BAM,Proliferating MG,Hgf,Nrp1,0.71546626,0.0,0.0901839,0.23580599689132217,0.09657451272302586,0.026950696,0.65369594,0.04509088013022623,0.9873783332244148,OpticNerve,MB
DAM-like MG,BAM,App,Tnfrsf21,0.71289724,1.0,0.43350402,-0.1546878989248245,-0.26521964424910316,0.016187314,0.80539334,1.0,0.9874912973406764,OpticNerve,MB
DAM-like MG,T cell,Sertad1,Ar,0.20406994,0.0,0.03799498,1.5122714531013854,0.37746040546513626,0.06300051,0.5506078,0.0021261137254306936,0.9875277926961772,OpticNerve,MB
