tissue,signature,mean_3D,mean_naive,delta,pvalue
Retina,Pan_reactive,7.308011321557954,5.777732973404504,1.53027834815345,0.08382124530607912
Retina,A1_neurotoxic,3.8266525044466837,2.9879404015443396,0.8387121029023441,0.11281511132493632
Retina,A2_neuroprotective,1.8482703536052583,1.5135521593802896,0.3347181942249686,0.13114486721051574
Retina,Complement,4.338251028126946,2.7029363549161074,1.6353146732108383,0.1920540511296252
Retina,DAM_MG,6.772853310566424,5.7735630115773535,0.9992902989890702,0.04437882296036021
Retina,IFN_module,3.870735422197619,3.3765078077671995,0.4942276144304194,0.03730623139300285
Retina,T_NK_infil,0.23091445101977212,0.12168447372872958,0.10922997729104254,0.3032868723691669
Retina,Neutrophil,0.54292566069547,0.2610974703834732,0.2818281903119968,0.3153954890283825
UON,Pan_reactive,11.801860560918463,11.321882110952611,0.47997844996585215,0.15642467276739136
UON,A1_neurotoxic,6.215488675193715,6.157894573594437,0.05759410159927825,0.8343130094615614
UON,A2_neuroprotective,4.536486379352953,4.347040064726345,0.18944631462660766,0.41341834754424617
UON,Complement,8.736651959319445,8.120995553239094,0.6156564060803511,0.09595595200512486
UON,DAM_MG,9.264593098864122,8.52101858839444,0.7435745104696814,0.023347405902144354
UON,IFN_module,6.9436816281234695,7.094267321842725,-0.1505856937192558,0.9125915322958227
UON,T_NK_infil,0.5602991356618932,0.4931145689365272,0.06718456672536594,0.6639175986459138
UON,Neutrophil,0.6486792841843166,0.06362629436325042,0.5850529898210662,0.003438609043713332
MON,Pan_reactive,11.027633760763873,11.076191421110689,-0.04855766034681608,0.8978739212552895
MON,A1_neurotoxic,5.298309564661523,5.014856028734789,0.28345353592673384,0.01635626793472105
MON,A2_neuroprotective,4.344339153178462,3.254677920217312,1.0896612329611495,0.3070966685446967
MON,Complement,9.138495562710155,8.75145653976016,0.38703902294999537,0.32121253462400406
MON,DAM_MG,9.718125462327631,8.08556455904327,1.6325609032843609,0.2571751144814572
MON,IFN_module,5.355045722608861,5.244556484399915,0.11048923820894618,0.9007911425069526
MON,T_NK_infil,0.42684214014235466,0.44482402011285327,-0.017981879970498604,0.9344916866053774
MON,Neutrophil,0.6046724266507099,0.36659185394338156,0.2380805727073283,0.7484131917466329
