gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Kcnj6,-4.431219199104857,0.0003492814517760671,0.27439357000000003,26.49371762,1.0
Fam229b,-1.9299297344957893,0.0007138654913052628,40.78216917333334,158.20537380000002,1.0
Dmwd,-2.108373721296206,0.0008236776819672617,47.94038085666667,210.03334213333332,1.0
Rtn4rl2,-3.647900544981066,0.0010998745826387882,2.464762182,42.43110865666667,1.0
Klf9,-1.6972230814019913,0.0011156628191001544,506.79248216666673,1645.6500956666666,1.0
Marveld3,-3.3470625971287755,0.0013106706375324163,10.398078409333332,114.98394576666665,1.0
Mrpl4,0.539171747754452,0.0013606465856680083,2404.7217746666665,1654.5356233333332,1.0
Mirc35hg,-5.111871636989377,0.0014258042374029692,0.460575103,49.50688567,1.0
Apmap,0.5715042389909012,0.0016571419518506857,1887.1396513333332,1269.5571193333333,1.0
Gfod2,-1.6857046083159968,0.0016987448719400899,112.78970249000001,365.0585987,1.0
Nipal1,-5.4822249244394,0.0018014262209684398,1.1882750723333333,96.81738723666668,1.0
Paqr5,-3.7120696343234285,0.0018473059521632994,12.595715722666668,177.17484149666666,1.0
Pgf,-1.8462051144301703,0.0018522552489250645,27.486327133333333,101.42349116999999,1.0
Clic5,-4.87350070278636,0.00191380355652612,4.022911565,146.23987067666664,1.0
Kcnj3,-4.896253439713881,0.0019251008999485236,0.0,28.77962000333333,1.0
Rragc,0.7139843507356775,0.002056191586704929,2158.8896273333335,1315.7424983333333,1.0
Dio1,-5.949102358937775,0.0021629592897496716,0.0,60.78147282,1.0
Lingo1,-3.0894555657409737,0.002197095248825333,6.82120454,65.57212795666668,1.0
Fv1,-4.241526983504026,0.002489062778261555,0.5487871400000001,28.29669187,1.0
Pik3c2b,-0.8561952318735027,0.0025363580153766932,66.35501002000001,120.92993773333335,1.0
Nsmce1,0.40731704214860887,0.0025452206761666304,2420.777156,1825.0788686666667,1.0
Stk35,-2.663007326871193,0.002782960991230481,84.71607195333333,541.8843782333333,1.0
Nup210l,-1.4647146800880573,0.0028315717957556248,12.535077343333333,36.35801529666667,1.0
Ddx17,-0.9518158004329204,0.002872682601361236,1465.9428336666667,2836.51585,1.0
Cmtm3,0.652525713942915,0.0030363644249639804,7937.862448333333,5049.43126,1.0
Dctpp1,1.260583596762704,0.0031390557532944255,2410.9254563333334,1005.6776035333334,1.0
Slc4a7,-0.5946676900091794,0.003160950383533617,1286.7277649999999,1943.6295096666665,1.0
Morn5,-4.775985958329593,0.0032135341914481903,0.0,26.397758443333334,1.0
Pcdhgc3,-2.494633423414746,0.0033966503725413873,19.66551781,115.46777542666666,1.0
Bub3,0.6220558548807502,0.003541361105904945,8247.940773333334,5358.702871,1.0
Ptprj,0.3914968127018962,0.003994598056978776,2595.510003,1978.4189159999999,1.0
Slc35g2,-2.8871033364821246,0.004056679590041525,19.980244813333332,154.2084123333333,1.0
Trib2,-2.4403509850058613,0.004550370775598571,113.42946691666667,620.0931238333334,1.0
Serp2,-1.2774356522135395,0.004597092022203117,21.725563323333333,54.088520173333336,1.0
C1ql1,-4.344768719193017,0.0047437914777664495,7.541635806333333,172.55884805666665,1.0
Pex26,-2.3172731173138033,0.004752002658515028,20.70494246333333,107.17511246333333,1.0
Cmtm4,-1.7901849985590095,0.004880776887557036,235.77573730000003,817.9107646666666,1.0
Cdk4,0.6345043754997249,0.004887226363163767,4040.0691380000003,2602.103471666667,1.0
Grid1,-3.0678486333248585,0.004991144689847126,10.202139417333333,92.93240332666666,1.0
Ggt7,-3.72764486870485,0.00500846390821449,20.61226648,285.3078346666667,1.0
Lhfpl6,-5.669667843866546,0.005055752890175716,1.3817253086666668,120.23604438666666,1.0
Mrpl12,0.8267891689908321,0.005134160049321542,2709.817719666667,1527.3118336666666,1.0
Nkain3,-3.3219127414917367,0.005223176700075773,0.7276999696666667,16.276815833,1.0
Otud6b,-0.5833351645128343,0.00522712620142536,1204.721418,1805.5432263333332,1.0
Scara5,-4.842897439909585,0.005236237453963498,1.9896496719999999,84.79810501666667,1.0
Mkrn3,-5.384876287937446,0.005238465328592957,0.0,40.783930033333334,1.0
Rtcb,0.7405278151771667,0.005467495755804678,17816.92466666667,10663.390355,1.0
Unc5b,-1.649593027512129,0.005549895818212428,42.4681529,135.3792092333333,1.0
Nudt11,-5.715868858430932,0.005568090733321942,0.0,51.55910698666667,1.0
Satb1,-1.4790263125582603,0.0056749274058206485,41.292321603333335,116.89430063666669,1.0
Catsperz,-3.514835486063198,0.005771347712632638,0.9948248363333333,21.802143676666663,1.0
Fcrl2,1.3485710285904382,0.005977932612108253,42608.23936,16730.830276666667,1.0
Kcnmb1,-5.171574812661125,0.006147903040205851,0.0,35.04119178,1.0
Vasn,-2.6575180056721273,0.006271522736960999,31.777074689999996,205.8058523,1.0
Zfand2a,1.2825703576253273,0.006308476856134409,2692.0477143333337,1106.0109046666666,1.0
Vgll3,-4.6246805547471865,0.006347524810928772,0.0,23.669910126666668,1.0
Tpp1,0.49263553258341375,0.006349368235911483,21288.62469,15130.080200000002,1.0
Dram2,0.5958017030757239,0.006361596535601237,5055.3214419999995,3344.6498859999997,1.0
Smim43,-4.5390976707753135,0.006450604612685387,0.0,22.249014703333334,1.0
Aven,-1.5912208499666647,0.006658223513494861,24.15627318,74.79691115333334,1.0
P4ha2,-2.631782139052677,0.006881807321344184,71.74617598666667,449.87435580000005,1.0
Eif4b,0.6339884104803424,0.006930861374669756,6976.0898326666675,4494.984302666667,1.0
Adamts9,-3.02462289265961,0.007190375061012949,0.5342497333333334,11.485279605333332,1.0
Stac2,-1.5400825111837042,0.007363771756190325,109.11130385666667,319.2159327,1.0
