,Pan_reactive,A1_neurotoxic,A2_neuroprotective,Complement,Chemokine_recruit,cond
SHAM_1,9.457515380724066,10.166169734520352,5.215430674802355,13.670616103048577,11.889942866689804,SHAM
SHAM_2,12.07908126324036,10.685474081706644,6.654145309591915,13.579845635522004,11.328044818708271,SHAM
SHAM_3,13.279128099342255,11.787406047657338,7.017509140449185,15.288386992510334,11.849601568110218,SHAM
OHT_1,12.497117256735793,10.72385267385995,7.537298339449691,15.556224836958496,12.482725903251932,OHT
OHT_2,11.705709684746642,11.351243088282455,7.667440022076268,14.866717813272956,11.94789811411775,OHT
OHT_3,12.041141933645022,10.074352584992646,7.0423091038266925,14.069339147810528,11.612257144822834,OHT
