tissue,cell_class,log2fc,p,prop_MB,prop_Sham,fdr
Retina,Homeostatic MG,-2.445375543717553,0.0115522136621391,0.1360092305764272,0.7153048662082999,0.021787329565286638
Retina,DAM-like MG,0.9934953677651202,0.11867249930984336,0.42596531935344656,0.20343955234415725,0.18648535605832528
Retina,Activated MG (Ccl5+),-0.7701779152340995,0.5042417301657686,0.013855974302720531,0.01572950812406223,0.5546659031823454
Retina,Proliferating MG,-0.49728787776467076,0.278833524451144,0.007944396323910983,0.01074883534042839,0.3407965298847316
Retina,MHCII+ Mac/APC,2.7874727180499503,0.011822702426520722,0.2693174012913197,0.036703529375361206,0.021787329565286638
Retina,pDC,5.902808736142188,0.011883997944701803,0.007341559769595183,0.0,0.021787329565286638
Retina,B cell,-0.537037969198801,0.7589819567450504,0.010544145416021179,0.012924890223770335,0.7589819567450504
Retina,T cell,4.121237430581931,0.001452260390881844,0.0195376667779131,0.0011431793954406512,0.015974864299700284
Retina,gdT cell,5.149969392698391,0.00360258411931015,0.01509604970759275,0.0004632015122842959,0.019814212656205827
Retina,NK cell,3.884497414907318,0.005502767641250865,0.035013176802216224,0.0028367291259896285,0.020176814684586507
Retina,Neutrophil,4.060460717901297,0.2530144616862052,0.05937507967883665,0.0007057083502060785,0.3407965298847316
OpticNerve,Homeostatic MG,-0.0877760859005765,0.8353713264415351,0.2617423178752305,0.27727865662966616,0.9189084590856887
OpticNerve,DAM-like MG,0.03308926347060881,0.8020589272563176,0.6688855773804431,0.6529639549675627,0.9189084590856887
OpticNerve,Activated MG (Ccl5+),0.5654494390942268,0.012462678441651213,0.023500904316931973,0.01579901436370975,0.13708946285816334
OpticNerve,Proliferating MG,0.3805485835500235,0.520339438492308,0.01088695663515648,0.008009650199847456,0.8916813453138387
OpticNerve,MHCII+ Mac/APC,-0.4156186493941796,0.64849552386461,0.022097571167615487,0.038074716950524314,0.8916813453138387
OpticNerve,pDC,0.0,,0.0,0.0,1.0
OpticNerve,B cell,1.50108731914667,0.31109353578369,0.0011995837427981717,0.000606571675485693,0.8916813453138387
OpticNerve,T cell,0.38527957595796014,0.6336747959251453,0.0043585076466894105,0.003890453024421254,0.8916813453138387
OpticNerve,gdT cell,1.195226417127179,0.5145746637038584,0.00117535678004981,0.00030454811764818164,0.8916813453138387
OpticNerve,NK cell,1.0669114526559476,0.11812644500100897,0.00602214567673922,0.0030724340711345386,0.6496954475055493
OpticNerve,Neutrophil,0.7674263606917293,0.42264973081037394,0.00013107877834578582,0.0,0.8916813453138387
