module,n,wt_mean,ko_mean,wilcoxon_2sided,dependence_1sided
Homeostatic,6,-0.4036806936837018,0.06361477108380893,0.4375,0.032467532467532464
DAM,11,0.1450426067158694,1.242755854096808,0.0185546875,0.004312126913926406
IFN,9,0.6744465336473066,0.7382272415453037,0.8203125,0.6044592435396092
MHCII,7,1.2675183481730201,0.8152874131165204,0.578125,0.6899766899766899
Chemokine,8,0.3189584488330577,1.6465217174079265,0.0078125,0.0003108003108003108
