tissue,state,prop_MB,prop_Sham,log2FC,pvalue,padj
Retina,MG-Homeo-ON,0.025390530280445342,0.04179612398949315,-0.7168553933797159,0.42995642505903364,0.46904337279167313
Retina,MG-Homeo-Ret,0.05293541958215998,0.3895266700848905,-2.877064346581705,0.18370602763417299,0.7348241105366919
Retina,MG-Homeo-Ret2,0.1268008036174775,0.3764925174794584,-1.569303130034034,0.2593801940518935,0.518760388103787
Retina,MG-Homeo-ON2,0.018279390980801814,0.012132934353752834,0.58731845297003,0.3557786522186356,0.4743715362915142
Retina,MG-lowRNA,0.14559512799667365,0.05564970689813872,1.385916509646453,0.22528283623051945,0.5406788069532467
Retina,MG-IFN,0.04922389045052028,0.05774648349527477,-0.22994266250459577,0.7576222738659512,0.7576222738659512
Retina,MG-MHCII+,0.30421971828097377,0.03687649650122578,3.04090737383831,0.2211230417587839,0.6633691252763516
Retina,MG-MHCII+ (Ret),0.0346170167896807,0.0,8.43949917305129,0.3493069849338729,0.5239604774008093
Retina,MG-Ccl5+ act.,0.16317832400762908,0.006476535471448628,4.633861698385543,0.0976990941555972,1.0
Retina,MG-DAM,0.05135820566233016,0.0012054573158360772,5.3007739593039505,0.12916665426646273,0.7749999255987764
Retina,MG-DAM-Iron,0.01575789943270274,0.0038767199610068707,1.9955508047508443,0.3195109275593995,0.5477330186732564
Retina,MG-Prolif,0.012643672918605015,0.018220354449474306,-0.5236662719836471,0.39230870157557174,0.47077044189068606
OpticNerve,MG-Homeo-ON,0.42164034966448605,0.4414651091704867,-0.0662711233399886,0.9313631495453167,1.0
OpticNerve,MG-Homeo-Ret,0.004495903302920721,0.010639465699183564,-1.2245018700246757,0.6159376926581956,1.0
OpticNerve,MG-Homeo-Ret2,0.018717943786365352,0.02277408088625402,-0.28160477982108667,0.7278848202918302,1.0
OpticNerve,MG-Homeo-ON2,0.2780624291414922,0.25742937086316525,0.11119059200145508,0.9316237092094087,0.9316237092094087
OpticNerve,MG-lowRNA,0.12070231057067991,0.1481465613586681,-0.2953505920667837,0.6337082299509769,1.0
OpticNerve,MG-IFN,0.08812394093526248,0.07075432634160164,0.3163142602840344,0.2341740725232985,1.0
OpticNerve,MG-MHCII+,0.03403445405553351,0.019083870964478288,0.8313348177131933,0.06251679131033747,0.7502014957240496
OpticNerve,MG-MHCII+ (Ret),0.0,0.0002108370229812355,-1.636158349596227,0.42264973081037427,1.0
OpticNerve,MG-Ccl5+ act.,0.002241609272667311,0.001254616856062306,0.7896155108403051,0.5738900776087025,1.0
OpticNerve,MG-DAM,0.00047319840521306105,0.00041647140504991734,0.15034612058924202,0.8830827258083701,1.0
OpticNerve,MG-DAM-Iron,0.01860834025965383,0.01596115637838259,0.22010580485333642,0.8440345352675972,1.0
OpticNerve,MG-Prolif,0.012899520605725552,0.011864133053686393,0.11974256081559774,0.8197804163468018,1.0
