gene,spearman_dpt
Ccl22,0.050971417263542505
Zc3h12b,0.0509930617817776
Tlr8,0.05100326335413454
Sorbs1,0.05109913267880718
Tbc1d12,0.051190175252609486
Tent5d,0.05119741179549349
9430041J12Rik,0.051295491415872536
Rnf17,0.0513418759576638
Stag3,0.05138946439315552
F630040K05Rik,0.051456369868511015
Itgb8,0.05156052119647092
Golim4,0.05158681120168501
Lrrn3,0.051649939355554994
Ro60,0.051677145531430255
Cdyl2,0.0516867370361288
Exd2,0.05171829484140962
Igf2bp3,0.051721635330885085
Gm14636,0.05175585036084972
Cdkl3,0.05183504801900892
Cables1,0.05187242120591784
Serpini1,0.05194877636960409
Tafa2,0.05203943364177932
Wdr25,0.05209437351626628
Ttc12,0.05210566141502761
Angptl2,0.052163567309052375
Arnt2,0.052207975158386495
Pacsin1,0.052275308949537115
Cog7,0.052404735119177
Lrrc18,0.052437788849961454
Syt1,0.052550503337675455
Dcaf10,0.05272304095508579
Arhgap24,0.052748668776659326
Rnd3,0.052807182982387256
Eml6,0.052930110552919
