sample,group,MG-Homeo-ON,MG-Homeo-Ret,MG-Homeo-Ret2,MG-Homeo-ON2,MG-lowRNA,MG-IFN,MG-MHCII+,MG-MHCII+ (Ret),MG-Ccl5+ act.,MG-DAM,MG-DAM-Iron,MG-Prolif
GSM8880855,OpticNerve-Sham,0.7199259716224553,0.0009253547193090684,0.03300431832202344,0.04657618753855645,0.07618753855644664,0.08143121529919803,0.024676125848241828,0.0,0.0012338062924120913,0.0006169031462060457,0.003392967304133251,0.012029611351017891
GSM8880856,OpticNerve-MB,0.5921251892983341,0.0010095911155981827,0.0353356890459364,0.13023725391216556,0.09591115598182735,0.09692074709742554,0.03230691569914185,0.0,0.0005047955577990914,0.0010095911155981827,0.008076728924785462,0.006562342251388188
GSM8880857,Retina-Sham,0.062159214830970554,0.015267175572519083,0.7104689203925845,0.017448200654307525,0.03707742639040349,0.0861504907306434,0.021264994547437296,0.0,0.009814612868047983,0.0016357688113413304,0.004907306434023991,0.03380588876772083
GSM8880858,Retina-MB,0.027549540840985983,0.005316578057032383,0.18173030449492508,0.011599806669888834,0.18173030449492508,0.027549540840985983,0.29337844369260513,0.012566457225712905,0.17786370227162882,0.06476558724021267,0.006766553890768487,0.00918318028032866
GSM8880859,Retina-MB,0.04449152542372881,0.018008474576271187,0.18008474576271186,0.02754237288135593,0.2129237288135593,0.09533898305084745,0.045550847457627115,0.0,0.2468220338983051,0.07733050847457627,0.03389830508474576,0.018008474576271187
GSM8880860,Retina-Sham,0.07305273343009192,0.08756652152878568,0.6550556361877117,0.011127237542331882,0.059506531204644414,0.050314465408805034,0.02902757619738752,0.0,0.011127237542331882,0.0009675858732462506,0.00822447992259313,0.014029995162070633
GSM8880861,OpticNerve-MB,0.4780439121756487,0.000998003992015968,0.010978043912175649,0.16766467065868262,0.14770459081836326,0.0998003992015968,0.041916167664670656,0.0,0.00499001996007984,0.0,0.03093812375249501,0.016966067864271458
GSM8880862,OpticNerve-Sham,0.496309963099631,0.0,0.025830258302583026,0.1033210332103321,0.23985239852398524,0.07011070110701106,0.01107011070110701,0.0,0.0,0.0,0.03690036900369004,0.016605166051660517
GSM8880863,OpticNerve-Sham,0.10815939278937381,0.03099304237824162,0.009487666034155597,0.6223908918406073,0.1283997469955724,0.06072106261859583,0.021505376344086023,0.0006325110689437065,0.002530044275774826,0.0006325110689437065,0.007590132827324478,0.006957621758380772
GSM8880864,OpticNerve-MB,0.1947519475194752,0.011480114801148012,0.00984009840098401,0.5362853628536285,0.11849118491184912,0.06765067650676507,0.02788027880278803,0.0,0.0012300123001230013,0.0004100041000410004,0.016810168101681018,0.015170151701517014
GSM8880865,Retina-Sham,0.018776671408250355,0.7229018492176387,0.11322901849217638,0.017069701280227598,0.03982930298719772,0.04751066856330014,0.021337126600284494,0.0,0.004551920341394026,0.0005689900426742532,0.0011379800853485065,0.013086770981507824
GSM8880866,Retina-MB,0.004130524576621231,0.13548120611317638,0.01858736059479554,0.01569599339116068,0.042131350681536554,0.024783147459727387,0.573729863692689,0.0912845931433292,0.06484923585295332,0.01197852127220157,0.00660883932259397,0.0107393638992152
GSM8880867,Retina-Sham,0.013195876288659794,0.7323711340206186,0.027216494845360824,0.00288659793814433,0.08618556701030927,0.047010309278350516,0.07587628865979382,0.0,0.0004123711340206186,0.0016494845360824743,0.0012371134020618556,0.011958762886597939
